Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS103233,Business Basics Round 1,Jodi Hay,MORAYFIELD,MORETON BAY REGIONAL,Training and coaching,5000
BBAS103235,Business Basics Round 1,Odd Media,STAFFORD,BRISBANE CITY,Training and coaching,5000
BBAS103240,Business Basics Round 1,FALLON GLOBAL MANAGEMENT / BOAB AGENCY,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS103245,Business Basics Round 1,JRMA Industries PL trading,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS103249,Business Basics Round 1,Lee Williams & Associates,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS103253,Business Basics Round 1,FRE-AS-A.COM PTY LTD,KAWANA,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS103255,Business Basics Round 1,Mynickerbot,SURFERS PARADISE,GOLD COAST CITY,Website build/upgrades,5000
BBAS103257,Business Basics Round 1,United FortuneFinance ATF Ma Family Trust,TOOHEY,BRISBANE CITY,Strategic marketing services,5000
BBAS103261,Business Basics Round 1,Sloan Holzberger Lawyers,MOUNT OMMANEY,BRISBANE CITY,Website build/upgrades,5000
BBAS103266,Business Basics Round 1,The Coffee Coaster,NOOSA,NOOSA SHIRE,Website build/upgrades,5000
BBAS103268,Business Basics Round 1,OOL Accounts Pty Ltd trading as UWP Accounting,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS103273,Business Basics Round 1,DreamWorks Driving School,COOPER,BRISBANE CITY,Website build/upgrades,5000
BBAS103274,Business Basics Round 1,IGLOBE TECHNOLOGIES PTY. LTD,FERNY GROVE,BRISBANE CITY,Website build/upgrades,5000
BBAS103279,Business Basics Round 1,The Trustee for Caligari Family Trust Trading As Sunshine Coast Cleans Pty Ltd,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS103282,Business Basics Round 1,iptax,BONNEY,GOLD COAST CITY,Strategic marketing services,5000
BBAS103283,Business Basics Round 1,The Graziers Daughter Souvenirs & Hampers,CONDAMINE,TOOWOOMBA REGIONAL,Website build/upgrades,5000
BBAS103284,Business Basics Round 1,INTRINSIC SCHOOL OF DANCE,SPRINGWOOD,LOGAN CITY,Website build/upgrades,5000
BBAS103285,Business Basics Round 1,Better Marketing Results,EVERTON,BRISBANE CITY,Strategic marketing services,5000
BBAS103288,Business Basics Round 1,Mediaglue Pty Ltd,COOMERA,GOLD COAST CITY,Website build/upgrades,5000
BBAS103291,Business Basics Round 1,DJMC Investment Group Pty Ltd,COOPER,BRISBANE CITY,Website build/upgrades,5000
BBAS103293,Business Basics Round 1,Trina Smith Kinesiology & Counselling Services,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS103295,Business Basics Round 1,Get Wet Co Pty Ltd,BONNEY,GOLD COAST CITY,Professional business advice,5000
BBAS103298,Business Basics Round 1,Mooi Store Pty Ltd,BURLEIGH,GOLD COAST CITY,Strategic marketing services,5000
BBAS103299,Business Basics Round 1,Fast Track Physiotherapy,GAVEN,GOLD COAST CITY,Website build/upgrades,5000
BBAS103300,Business Basics Round 1,Primil Developments Pty Ltd,CHATSWORTH,BRISBANE CITY,Website build/upgrades,5000
BBAS103302,Business Basics Round 1,Veriti Pty Ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS103306,Business Basics Round 1,Active Oats,NUDGEE,BRISBANE CITY,Website build/upgrades,5000
